iter	AUC	Logloss	Logloss:use_weights=true	Logloss:use_weights=false	F1:use_weights=true	F1:use_weights=false
0	0.6200473309	0.6910994959	0.6910994959	0.6911412969	0.515335957	0.4361190168
100	0.7512868643	0.6042460235	0.6042459351	0.6035731889	0.6656977229	0.5605567203
200	0.7737155557	0.5785576666	0.5785575781	0.5765991594	0.6830470218	0.5813890396
300	0.7836301923	0.5680229008	0.568022945	0.5657984885	0.692509425	0.5919912929
400	0.7913861871	0.5599094845	0.559909573	0.5577088973	0.6985562256	0.5987012397
500	0.7972840071	0.5536189466	0.5536190351	0.5514712193	0.7053326599	0.605958761
600	0.8013082147	0.5495509166	0.5495509166	0.5474996199	0.7089774845	0.6099600145
700	0.8054407239	0.5452330517	0.5452330075	0.543208017	0.7148823	0.6162933345
800	0.8090470433	0.5415890199	0.5415891526	0.5395585055	0.7182338264	0.6203505577
900	0.8120042086	0.5386750328	0.5386749885	0.5366750407	0.720121907	0.6223091977
1000	0.8139569461	0.5367721047	0.5367720162	0.5347979319	0.721939512	0.6243569315
1100	0.8163077235	0.5342289557	0.5342289999	0.5323074829	0.7251981847	0.6277757554
1200	0.8181201816	0.5324547263	0.5324547263	0.5305829582	0.7277617793	0.6304871947
1300	0.8202311993	0.5303884261	0.5303882934	0.528508146	0.7293855989	0.632273327
1400	0.8222212195	0.5284226081	0.5284226081	0.5265799715	0.7314098682	0.6345392491
1500	0.82421422	0.5264363575	0.5264364018	0.524606739	0.7330076694	0.6366453965
1600	0.8259007931	0.5247340403	0.5247340845	0.5229362224	0.7350581622	0.6388116827
1700	0.8284758925	0.522163294	0.5221632498	0.5203710447	0.7380593433	0.6421474797
1800	0.8302442431	0.520461994	0.5204620382	0.5186828728	0.7399497532	0.6441033116
1900	0.8315014839	0.51923312	0.5192330758	0.5174736028	0.7418624148	0.646254784
