iter	Passed	Remaining
0	586	1172945
1	1166	1165535
2	1736	1155699
3	2320	1157799
4	2907	1160029
5	3472	1153915
6	4056	1155023
7	4632	1153561
8	5204	1151359
9	5793	1152880
10	6383	1154251
11	6974	1155508
12	7554	1154719
13	8129	1153261
14	8720	1153968
15	9295	1152659
16	9884	1152942
17	10472	1153092
18	11054	1152588
19	11639	1152306
20	12232	1152811
21	12790	1150024
22	13385	1150545
23	13968	1150078
24	14526	1147630
25	15107	1147026
26	15691	1146678
27	16266	1145592
28	16841	1144651
29	17421	1144000
30	17994	1142959
31	18576	1142475
32	19163	1142267
33	19749	1141965
34	20315	1140595
35	20872	1138715
36	21420	1136435
37	21951	1133411
38	22524	1132600
39	23111	1132487
40	23693	1132108
41	24251	1130574
42	24831	1130137
43	25414	1129786
44	25981	1128751
45	26516	1126378
46	27115	1126748
47	27701	1126535
48	28271	1125672
49	28858	1125499
50	29447	1125353
51	30017	1124487
52	30610	1124500
53	31183	1123755
54	31758	1123093
55	32344	1122799
56	32907	1121743
57	33483	1121115
58	34055	1120376
59	34634	1119862
60	35211	1119262
61	35781	1118473
62	36357	1117852
63	36908	1116475
64	37438	1114524
65	38011	1113841
66	38580	1113068
67	39147	1112258
68	39734	1111992
69	40280	1110582
70	40845	1109734
71	41413	1108974
72	42151	1112670
73	42868	1115731
74	43447	1115164
75	44011	1114198
76	44577	1113282
77	45131	1112092
78	45704	1111381
79	46262	1110298
80	46827	1109406
81	47403	1108768
82	47984	1108268
83	48567	1107797
84	49256	1109721
85	49799	1108334
86	50520	1110870
87	51100	1110269
88	51683	1109733
89	52247	1108812
90	52831	1108291
91	53415	1107786
92	53962	1106526
93	54551	1106116
94	55123	1105363
95	55702	1104761
96	56282	1104176
97	56829	1102958
98	57396	1102123
99	58123	1104351
100	58682	1103348
101	59231	1102166
102	59821	1101754
103	60397	1101094
104	60951	1100035
105	61551	1099790
106	62124	1099077
107	62685	1098151
108	63250	1097312
109	63802	1096242
110	64389	1095786
111	64958	1095021
112	65507	1093923
113	66026	1092326
114	66579	1091330
115	67145	1090543
116	67712	1089769
117	68255	1088624
118	68832	1088020
119	69417	1087534
120	69972	1086601
121	70703	1088367
122	71232	1087018
123	71812	1086457
124	72395	1085931
125	72967	1085244
126	73529	1084412
127	74271	1086218
128	74860	1085766
129	75431	1085059
130	76003	1084359
131	76593	1083912
132	77167	1083249
133	77691	1081881
134	78250	1081014
135	78794	1079944
136	79373	1079357
137	79919	1078330
138	80475	1077448
139	81004	1076200
140	81536	1075005
141	82110	1074371
142	82683	1073728
143	83279	1073384
144	83855	1072777
145	84420	1072026
146	85004	1071515
147	85566	1070738
148	86130	1069987
149	86727	1069634
150	87440	1070708
151	87964	1069463
152	88505	1068424
153	89060	1067568
154	89628	1066872
155	90190	1066093
156	90772	1065561
157	91349	1064974
158	91894	1064014
